id,difficulty,enabled,text,answer,choice1,choice2,choice3,choice4,hint
percent-28,medium,true,สินค้าราคา 1500 บาท ลดราคา 30% ต้องจ่ายกี่บาท,1050,1050,450,1500,1070,คำนวณเงินที่ลด แล้วลบออกจากราคาเต็ม
percent-29,hard,true,สินค้าราคา 200 บาท ลด 40% แล้วลดเพิ่ม 10% จากราคาที่ลดแล้ว ต้องจ่ายกี่บาท,108,108,120,100,110,คิดส่วนลดครั้งแรก แล้วคิดส่วนลดครั้งที่สองจากราคาที่เหลือ
percent-30,hard,true,สินค้าราคา 300 บาท ลด 50% แล้วลดเพิ่ม 20% จากราคาที่ลดแล้ว ต้องจ่ายกี่บาท,120,120,150,90,130,คิดส่วนลดครั้งแรก แล้วคิดส่วนลดครั้งที่สองจากราคาที่เหลือ
percent-31,hard,true,สินค้าราคา 400 บาท ลด 10% แล้วลดเพิ่ม 5% จากราคาที่ลดแล้ว ต้องจ่ายกี่บาท,342,342,360,340,355,คิดส่วนลดครั้งแรก แล้วคิดส่วนลดครั้งที่สองจากราคาที่เหลือ
percent-32,hard,true,สินค้าราคา 500 บาท ลด 20% แล้วลดเพิ่ม 10% จากราคาที่ลดแล้ว ต้องจ่ายกี่บาท,360,360,400,350,390,คิดส่วนลดครั้งแรก แล้วคิดส่วนลดครั้งที่สองจากราคาที่เหลือ
percent-33,hard,true,สินค้าราคา 600 บาท ลด 25% แล้วลดเพิ่ม 20% จากราคาที่ลดแล้ว ต้องจ่ายกี่บาท,360,360,450,330,430,คิดส่วนลดครั้งแรก แล้วคิดส่วนลดครั้งที่สองจากราคาที่เหลือ
percent-34,hard,true,สินค้าราคา 700 บาท ลด 30% แล้วลดเพิ่ม 5% จากราคาที่ลดแล้ว ต้องจ่ายกี่บาท,465.5,465.5,490,455,485,คิดส่วนลดครั้งแรก แล้วคิดส่วนลดครั้งที่สองจากราคาที่เหลือ
percent-35,hard,true,สินค้าราคา 800 บาท ลด 40% แล้วลดเพิ่ม 10% จากราคาที่ลดแล้ว ต้องจ่ายกี่บาท,432,432,480,400,470,คิดส่วนลดครั้งแรก แล้วคิดส่วนลดครั้งที่สองจากราคาที่เหลือ
percent-36,hard,true,สินค้าราคา 900 บาท ลด 50% แล้วลดเพิ่ม 20% จากราคาที่ลดแล้ว ต้องจ่ายกี่บาท,360,360,450,270,430,คิดส่วนลดครั้งแรก แล้วคิดส่วนลดครั้งที่สองจากราคาที่เหลือ
percent-37,hard,true,สินค้าราคา 1000 บาท ลด 10% แล้วลดเพิ่ม 5% จากราคาที่ลดแล้ว ต้องจ่ายกี่บาท,855,855,900,850,895,คิดส่วนลดครั้งแรก แล้วคิดส่วนลดครั้งที่สองจากราคาที่เหลือ
percent-38,hard,true,สินค้าราคา 1100 บาท ลด 20% แล้วลดเพิ่ม 10% จากราคาที่ลดแล้ว ต้องจ่ายกี่บาท,792,792,880,770,870,คิดส่วนลดครั้งแรก แล้วคิดส่วนลดครั้งที่สองจากราคาที่เหลือ
percent-39,hard,true,สินค้าราคา 1200 บาท ลด 25% แล้วลดเพิ่ม 20% จากราคาที่ลดแล้ว ต้องจ่ายกี่บาท,720,720,900,660,880,คิดส่วนลดครั้งแรก แล้วคิดส่วนลดครั้งที่สองจากราคาที่เหลือ
percent-40,hard,true,สินค้าราคา 1300 บาท ลด 30% แล้วลดเพิ่ม 5% จากราคาที่ลดแล้ว ต้องจ่ายกี่บาท,864.5,864.5,910,845,905,คิดส่วนลดครั้งแรก แล้วคิดส่วนลดครั้งที่สองจากราคาที่เหลือ
