id,difficulty,enabled,text,answer,choice1,choice2,choice3,choice4,hint
counting-17,medium,true,ห้องสมุดมีหนังสือ 108 เล่ม ยืมออกไป 20 เล่ม เหลือหนังสือกี่เล่ม,88,88,86,91,128,นำจำนวนที่ยืมออกไปลบจากจำนวนหนังสือทั้งหมด
counting-18,medium,true,ห้องสมุดมีหนังสือ 111 เล่ม ยืมออกไป 21 เล่ม เหลือหนังสือกี่เล่ม,90,90,88,93,132,นำจำนวนที่ยืมออกไปลบจากจำนวนหนังสือทั้งหมด
counting-19,medium,true,ห้องสมุดมีหนังสือ 114 เล่ม ยืมออกไป 22 เล่ม เหลือหนังสือกี่เล่ม,92,92,90,95,136,นำจำนวนที่ยืมออกไปลบจากจำนวนหนังสือทั้งหมด
counting-20,medium,true,ห้องสมุดมีหนังสือ 117 เล่ม ยืมออกไป 23 เล่ม เหลือหนังสือกี่เล่ม,94,94,92,97,140,นำจำนวนที่ยืมออกไปลบจากจำนวนหนังสือทั้งหมด
counting-21,medium,true,ห้องสมุดมีหนังสือ 120 เล่ม ยืมออกไป 24 เล่ม เหลือหนังสือกี่เล่ม,96,96,94,99,144,นำจำนวนที่ยืมออกไปลบจากจำนวนหนังสือทั้งหมด
counting-22,medium,true,ห้องสมุดมีหนังสือ 123 เล่ม ยืมออกไป 25 เล่ม เหลือหนังสือกี่เล่ม,98,98,96,101,148,นำจำนวนที่ยืมออกไปลบจากจำนวนหนังสือทั้งหมด
counting-23,medium,true,ห้องสมุดมีหนังสือ 126 เล่ม ยืมออกไป 15 เล่ม เหลือหนังสือกี่เล่ม,111,111,109,114,141,นำจำนวนที่ยืมออกไปลบจากจำนวนหนังสือทั้งหมด
counting-24,medium,true,ห้องสมุดมีหนังสือ 129 เล่ม ยืมออกไป 16 เล่ม เหลือหนังสือกี่เล่ม,113,113,111,116,145,นำจำนวนที่ยืมออกไปลบจากจำนวนหนังสือทั้งหมด
counting-25,medium,true,ห้องสมุดมีหนังสือ 132 เล่ม ยืมออกไป 17 เล่ม เหลือหนังสือกี่เล่ม,115,115,113,118,149,นำจำนวนที่ยืมออกไปลบจากจำนวนหนังสือทั้งหมด
counting-26,medium,true,ห้องสมุดมีหนังสือ 135 เล่ม ยืมออกไป 18 เล่ม เหลือหนังสือกี่เล่ม,117,117,115,120,153,นำจำนวนที่ยืมออกไปลบจากจำนวนหนังสือทั้งหมด
counting-27,medium,true,ห้องสมุดมีหนังสือ 138 เล่ม ยืมออกไป 19 เล่ม เหลือหนังสือกี่เล่ม,119,119,117,122,157,นำจำนวนที่ยืมออกไปลบจากจำนวนหนังสือทั้งหมด
counting-28,medium,true,ห้องสมุดมีหนังสือ 141 เล่ม ยืมออกไป 20 เล่ม เหลือหนังสือกี่เล่ม,121,121,119,124,161,นำจำนวนที่ยืมออกไปลบจากจำนวนหนังสือทั้งหมด
counting-29,hard,true,มีดินสอ 9 กล่อง กล่องละ 8 แท่ง และมีแยกอีก 38 แท่ง รวมทั้งหมดกี่แท่ง,110,110,72,91,118,คูณจำนวนกล่องกับจำนวนต่อกล่อง แล้วบวกจำนวนที่แยกไว้
counting-30,hard,true,มีดินสอ 10 กล่อง กล่องละ 9 แท่ง และมีแยกอีก 39 แท่ง รวมทั้งหมดกี่แท่ง,129,129,90,110,138,คูณจำนวนกล่องกับจำนวนต่อกล่อง แล้วบวกจำนวนที่แยกไว้
counting-31,hard,true,มีดินสอ 11 กล่อง กล่องละ 4 แท่ง และมีแยกอีก 40 แท่ง รวมทั้งหมดกี่แท่ง,84,84,44,64,88,คูณจำนวนกล่องกับจำนวนต่อกล่อง แล้วบวกจำนวนที่แยกไว้
counting-32,hard,true,มีดินสอ 12 กล่อง กล่องละ 5 แท่ง และมีแยกอีก 41 แท่ง รวมทั้งหมดกี่แท่ง,101,101,60,81,106,คูณจำนวนกล่องกับจำนวนต่อกล่อง แล้วบวกจำนวนที่แยกไว้
counting-33,hard,true,มีดินสอ 5 กล่อง กล่องละ 6 แท่ง และมีแยกอีก 42 แท่ง รวมทั้งหมดกี่แท่ง,72,72,30,51,78,คูณจำนวนกล่องกับจำนวนต่อกล่อง แล้วบวกจำนวนที่แยกไว้
counting-34,hard,true,มีดินสอ 6 กล่อง กล่องละ 7 แท่ง และมีแยกอีก 43 แท่ง รวมทั้งหมดกี่แท่ง,85,85,42,64,92,คูณจำนวนกล่องกับจำนวนต่อกล่อง แล้วบวกจำนวนที่แยกไว้
counting-35,hard,true,มีดินสอ 7 กล่อง กล่องละ 8 แท่ง และมีแยกอีก 44 แท่ง รวมทั้งหมดกี่แท่ง,100,100,56,78,108,คูณจำนวนกล่องกับจำนวนต่อกล่อง แล้วบวกจำนวนที่แยกไว้
counting-36,hard,true,มีดินสอ 8 กล่อง กล่องละ 9 แท่ง และมีแยกอีก 45 แท่ง รวมทั้งหมดกี่แท่ง,117,117,72,95,126,คูณจำนวนกล่องกับจำนวนต่อกล่อง แล้วบวกจำนวนที่แยกไว้
counting-37,hard,true,มีดินสอ 9 กล่อง กล่องละ 4 แท่ง และมีแยกอีก 46 แท่ง รวมทั้งหมดกี่แท่ง,82,82,36,59,86,คูณจำนวนกล่องกับจำนวนต่อกล่อง แล้วบวกจำนวนที่แยกไว้
counting-38,hard,true,มีดินสอ 10 กล่อง กล่องละ 5 แท่ง และมีแยกอีก 47 แท่ง รวมทั้งหมดกี่แท่ง,97,97,50,74,102,คูณจำนวนกล่องกับจำนวนต่อกล่อง แล้วบวกจำนวนที่แยกไว้
counting-39,hard,true,มีดินสอ 11 กล่อง กล่องละ 6 แท่ง และมีแยกอีก 48 แท่ง รวมทั้งหมดกี่แท่ง,114,114,66,90,120,คูณจำนวนกล่องกับจำนวนต่อกล่อง แล้วบวกจำนวนที่แยกไว้
counting-40,hard,true,มีดินสอ 12 กล่อง กล่องละ 7 แท่ง และมีแยกอีก 49 แท่ง รวมทั้งหมดกี่แท่ง,133,133,84,109,140,คูณจำนวนกล่องกับจำนวนต่อกล่อง แล้วบวกจำนวนที่แยกไว้
