id,difficulty,enabled,text,answer,choice1,choice2,choice3,choice4,hint
decimal-11,easy,true,มีน้ำ 12.5 ลิตร เติมเพิ่ม 4.7 ลิตร มีน้ำทั้งหมดกี่ลิตร,17.2,17.2,16.7,17.7,7.8,นำปริมาณน้ำทั้งสองจำนวนมาบวกกัน
decimal-12,easy,true,มีน้ำ 13.2 ลิตร เติมเพิ่ม 5.3 ลิตร มีน้ำทั้งหมดกี่ลิตร,18.5,18.5,18,19,7.9,นำปริมาณน้ำทั้งสองจำนวนมาบวกกัน
decimal-13,easy,true,มีน้ำ 13.9 ลิตร เติมเพิ่ม 2.3 ลิตร มีน้ำทั้งหมดกี่ลิตร,16.2,16.2,15.7,16.7,11.6,นำปริมาณน้ำทั้งสองจำนวนมาบวกกัน
decimal-14,easy,true,มีน้ำ 14.6 ลิตร เติมเพิ่ม 2.9 ลิตร มีน้ำทั้งหมดกี่ลิตร,17.5,17.5,17,18,11.7,นำปริมาณน้ำทั้งสองจำนวนมาบวกกัน
decimal-15,medium,true,ซื้อสมุดเล่มละ 12.5 บาท จำนวน 6 เล่ม จ่าย 100 บาท ได้เงินทอนกี่บาท,25,25,30,23,75,คูณราคากับจำนวน แล้วลบออกจากเงินที่จ่าย
decimal-16,medium,true,ซื้อสมุดเล่มละ 13.75 บาท จำนวน 2 เล่ม จ่าย 50 บาท ได้เงินทอนกี่บาท,22.5,22.5,27.5,20.5,27.5,คูณราคากับจำนวน แล้วลบออกจากเงินที่จ่าย
decimal-17,medium,true,ซื้อสมุดเล่มละ 15 บาท จำนวน 3 เล่ม จ่าย 70 บาท ได้เงินทอนกี่บาท,25,25,30,23,45,คูณราคากับจำนวน แล้วลบออกจากเงินที่จ่าย
decimal-18,medium,true,ซื้อสมุดเล่มละ 16.25 บาท จำนวน 4 เล่ม จ่าย 90 บาท ได้เงินทอนกี่บาท,25,25,30,23,65,คูณราคากับจำนวน แล้วลบออกจากเงินที่จ่าย
decimal-19,medium,true,ซื้อสมุดเล่มละ 6.25 บาท จำนวน 5 เล่ม จ่าย 60 บาท ได้เงินทอนกี่บาท,28.75,28.75,33.75,26.75,31.25,คูณราคากับจำนวน แล้วลบออกจากเงินที่จ่าย
decimal-20,medium,true,ซื้อสมุดเล่มละ 7.5 บาท จำนวน 6 เล่ม จ่าย 70 บาท ได้เงินทอนกี่บาท,25,25,30,23,45,คูณราคากับจำนวน แล้วลบออกจากเงินที่จ่าย
decimal-21,medium,true,ซื้อสมุดเล่มละ 8.75 บาท จำนวน 2 เล่ม จ่าย 40 บาท ได้เงินทอนกี่บาท,22.5,22.5,27.5,20.5,17.5,คูณราคากับจำนวน แล้วลบออกจากเงินที่จ่าย
decimal-22,medium,true,ซื้อสมุดเล่มละ 10 บาท จำนวน 3 เล่ม จ่าย 50 บาท ได้เงินทอนกี่บาท,20,20,25,18,30,คูณราคากับจำนวน แล้วลบออกจากเงินที่จ่าย
decimal-23,medium,true,ซื้อสมุดเล่มละ 11.25 บาท จำนวน 4 เล่ม จ่าย 70 บาท ได้เงินทอนกี่บาท,25,25,30,23,45,คูณราคากับจำนวน แล้วลบออกจากเงินที่จ่าย
decimal-24,medium,true,ซื้อสมุดเล่มละ 12.5 บาท จำนวน 5 เล่ม จ่าย 90 บาท ได้เงินทอนกี่บาท,27.5,27.5,32.5,25.5,62.5,คูณราคากับจำนวน แล้วลบออกจากเงินที่จ่าย
decimal-25,medium,true,ซื้อสมุดเล่มละ 13.75 บาท จำนวน 6 เล่ม จ่าย 110 บาท ได้เงินทอนกี่บาท,27.5,27.5,32.5,25.5,82.5,คูณราคากับจำนวน แล้วลบออกจากเงินที่จ่าย
decimal-26,medium,true,ซื้อสมุดเล่มละ 15 บาท จำนวน 2 เล่ม จ่าย 50 บาท ได้เงินทอนกี่บาท,20,20,25,18,30,คูณราคากับจำนวน แล้วลบออกจากเงินที่จ่าย
decimal-27,medium,true,ซื้อสมุดเล่มละ 16.25 บาท จำนวน 3 เล่ม จ่าย 70 บาท ได้เงินทอนกี่บาท,21.25,21.25,26.25,19.25,48.75,คูณราคากับจำนวน แล้วลบออกจากเงินที่จ่าย
decimal-28,medium,true,ซื้อสมุดเล่มละ 6.25 บาท จำนวน 4 เล่ม จ่าย 50 บาท ได้เงินทอนกี่บาท,25,25,30,23,25,คูณราคากับจำนวน แล้วลบออกจากเงินที่จ่าย
decimal-29,hard,true,มีเงิน 98.3 บาท ได้เพิ่ม 30.25 บาท แล้วจ่ายไป 30.75 บาท เหลือเงินกี่บาท,97.8,97.8,128.55,128.55,92.8,บวกเงินที่มีและเงินที่ได้เพิ่ม แล้วลบเงินที่จ่าย
decimal-30,hard,true,มีเงิน 99.65 บาท ได้เพิ่ม 32.75 บาท แล้วจ่ายไป 32 บาท เหลือเงินกี่บาท,100.4,100.4,132.4,132.4,95.4,บวกเงินที่มีและเงินที่ได้เพิ่ม แล้วลบเงินที่จ่าย
decimal-31,hard,true,มีเงิน 101 บาท ได้เพิ่ม 35.25 บาท แล้วจ่ายไป 25.75 บาท เหลือเงินกี่บาท,110.5,110.5,136.25,136.25,105.5,บวกเงินที่มีและเงินที่ได้เพิ่ม แล้วลบเงินที่จ่าย
decimal-32,hard,true,มีเงิน 102.35 บาท ได้เพิ่ม 37.75 บาท แล้วจ่ายไป 27 บาท เหลือเงินกี่บาท,113.1,113.1,140.1,140.1,108.1,บวกเงินที่มีและเงินที่ได้เพิ่ม แล้วลบเงินที่จ่าย
decimal-33,hard,true,มีเงิน 103.7 บาท ได้เพิ่ม 40.25 บาท แล้วจ่ายไป 28.25 บาท เหลือเงินกี่บาท,115.7,115.7,143.95,143.95,110.7,บวกเงินที่มีและเงินที่ได้เพิ่ม แล้วลบเงินที่จ่าย
decimal-34,hard,true,มีเงิน 105.05 บาท ได้เพิ่ม 42.75 บาท แล้วจ่ายไป 29.5 บาท เหลือเงินกี่บาท,118.3,118.3,147.8,147.8,113.3,บวกเงินที่มีและเงินที่ได้เพิ่ม แล้วลบเงินที่จ่าย
decimal-35,hard,true,มีเงิน 106.4 บาท ได้เพิ่ม 45.25 บาท แล้วจ่ายไป 30.75 บาท เหลือเงินกี่บาท,120.9,120.9,151.65,151.65,115.9,บวกเงินที่มีและเงินที่ได้เพิ่ม แล้วลบเงินที่จ่าย
decimal-36,hard,true,มีเงิน 107.75 บาท ได้เพิ่ม 30.25 บาท แล้วจ่ายไป 32 บาท เหลือเงินกี่บาท,106,106,138,138,101,บวกเงินที่มีและเงินที่ได้เพิ่ม แล้วลบเงินที่จ่าย
decimal-37,hard,true,มีเงิน 109.1 บาท ได้เพิ่ม 32.75 บาท แล้วจ่ายไป 25.75 บาท เหลือเงินกี่บาท,116.1,116.1,141.85,141.85,111.1,บวกเงินที่มีและเงินที่ได้เพิ่ม แล้วลบเงินที่จ่าย
decimal-38,hard,true,มีเงิน 110.45 บาท ได้เพิ่ม 35.25 บาท แล้วจ่ายไป 27 บาท เหลือเงินกี่บาท,118.7,118.7,145.7,145.7,113.7,บวกเงินที่มีและเงินที่ได้เพิ่ม แล้วลบเงินที่จ่าย
decimal-39,hard,true,มีเงิน 111.8 บาท ได้เพิ่ม 37.75 บาท แล้วจ่ายไป 28.25 บาท เหลือเงินกี่บาท,121.3,121.3,149.55,149.55,116.3,บวกเงินที่มีและเงินที่ได้เพิ่ม แล้วลบเงินที่จ่าย
decimal-40,hard,true,มีเงิน 113.15 บาท ได้เพิ่ม 40.25 บาท แล้วจ่ายไป 29.5 บาท เหลือเงินกี่บาท,123.9,123.9,153.4,153.4,118.9,บวกเงินที่มีและเงินที่ได้เพิ่ม แล้วลบเงินที่จ่าย
